2609,2025,,,9,8,,,864,9,9,3579,,,136.1,285.5,4.96,,903,10,335.2,64,33,31,21,40,,952,10,293.1,76,42,35,21,40,,680,10,319,68,37,30,17,39,,654,10,291,61,30,21,16,37,1204,,,,,,,,9.32,93.3,86.7,85.5,94.18,90.64,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test,Year,Location,Date,MaxDays,BpO,Team-1,Team-2,SeriesNo,MatchNo,SeriesMats,Margin,FO,Result,RpW,BpW,RpO,I1-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,I2-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,I3-Team,Score,Wkts,Overs,Extras,Byes,Leg Byes,Wides,No Balls,I4-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,Grd-Id,City,Ground,Result,Series,Match,Toss,MOM,PQI_Base,PQI_Match,PQI_Inns12,PQI_Inns34,TPP-1,TPP-2,TQI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1889,South Africa,12-Mar-1889,3,4,South Africa,England,14,1,2,1008, ,England,13.4,31.7,2.53,South Africa,84,10,50.2,10,8,0,2,0,England,148,10,44.2,6,5,0,1,0,South Africa,129,10,60.1,7,7,0,0,0,England,67,2,14.1,7,7,0,0,0,204,Port Elizabeth,"Crusaders Ground, Port Elizabeth",England won by 8 wickets,"England in South Africa, 1888-89",1st Test,South Africa,,1.86,31.2,25.6,42.5,32.25,67.75,6
32,1889,South Africa,25-Mar-1889,3,4,South Africa,England,14,2,2,3202,FO,England,12.7,26.5,2.88,England,292,10,82.1,12,12,0,0,0,South Africa,47,10,31.3,4,2,0,0,2,South Africa,43,10,19,2,2,0,0,0,England,0,0,0,0,0,0,0,0,203,Cape Town,"Newlands, Cape Town",England won by an innings and 202 runs,"England in South Africa, 1888-89",2nd Test,England,,1.79,29.9,29.9,0,92.63,7.37,7
33,1890,England,21-Jul-1890,3,5,England,Australia,15,1,2,1007, ,England,18.7,62.4,1.80,Australia,132,10,71.4,3,0,3,0,0,England,173,10,91.5,2,0,2,0,0,Australia,176,10,117,2,0,2,0,0,England,137,3,62.3,0,0,0,0,0,101,Lord's,"Lord's, London",England won by 7 wickets,"The Ashes, 1890",1st Test,Australia,,2.72,45.4,38.1,53.7,36.07,63.93,6
34,1890,England,11-Aug-1890,3,5,England,Australia,15,2,2,1002, ,England,10.2,30.5,2.01,Australia,92,10,54.3,0,0,0,0,0,England,100,10,45.5,13,9,3,0,1,Australia,102,10,50.2,8,7,1,0,0,England,95,8,42.3,2,0,1,0,1,104,Oval,"Kennington Oval, London",England won by 2 wickets,"The Ashes, 1890",2nd Test,Australia,,1.54,25.7,25.3,26.1,48.22,51.78,9
35,1892,Australia,01-Jan-1892,9,6,Australia,England,16,1,3,2054, ,Australia,22.5,77.6,1.74,Australia,240,10,151.1,11,5,6,0,0,England,264,10,91.4,12,7,2,0,3,Australia,236,10,191.5,0,0,0,0,0,England,158,10,82.2,1,1,0,0,0,1,Melbourne,Melbourne Cricket Ground,Australia won by 54 runs,"The Ashes, 1891-92",1st Test,Australia,,3.39,54,55.6,52.4,58.37,41.63,7
36,1892,Australia,29-Jan-1892,9,6,Australia,England,16,2,3,2072, ,Australia,25.0,74.2,2.02,Australia,144,10,94.2,6,3,3,0,0,England,307,10,114.2,13,10,2,1,0,Australia,391,10,219.4,9,6,2,1,0,England,156,10,66.2,6,4,2,0,0,2,Sydney,Sydney Cricket Ground,Australia won by 72 runs,"The Ashes, 1891-92",2nd Test,Australia,,3.52,55.2,48.4,61.5,60.3,39.7,7
37,1892,South Africa,19-Mar-1892,3,5,South Africa,England,17,1,1,3189, ,England,18.3,37.9,2.90,South Africa,97,10,48.4,5,5,0,0,0,England,369,10,99.3,17,13,0,0,4,South Africa,83,10,41.2,7,7,0,0,0,England,0,0,0,0,0,0,0,0,203,Cape Town,"Newlands, Cape Town",England won by an innings and 189 runs,"England in South Africa, 1891-92",Only Test,South Africa,,2.48,41.5,41.5,0,13.52,86.48,6
38,1892,Australia,24-Mar-1892,9,6,Australia,England,16,3,3,3230,FO,England,25.6,56.8,2.70,England,499,10,173.1,13,5,7,1,0,Australia,100,10,42.5,5,5,0,0,0,Australia,169,10,68,5,3,2,0,0,England,0,0,0,0,0,0,0,0,5,Adelaide,Adelaide Oval,England won by an innings and 230 runs,"The Ashes, 1891-92",3rd Test,England,,3.02,50.3,50.3,0,84.98,15.02,6
39,1893,England,17-Jul-1893,3,5,England,Australia,18,1,3,0, ,Drawn,29.9,63.6,2.82,England,334,10,104.1,30,19,9,0,2,Australia,269,10,95.1,16,15,1,0,0,England,234,8,97.2,27,16,9,1,1,Australia,0,0,0,0,0,0,0,0,101,Lord's,"Lord's, London",Match drawn,"The Ashes, 1893",1st Test,England,,3.41,54.1,54.1,0,38.17,34.38,3
40,1893,England,14-Aug-1893,3,5,England,Australia,18,2,3,3043,FO,England,30.8,53.8,3.43,England,483,10,155.5,25,19,4,2,0,Australia,91,10,31.2,8,5,3,0,0,Australia,349,10,81.4,33,18,15,0,0,England,0,0,0,0,0,0,0,0,104,Oval,"Kennington Oval, London",England won by an innings and 43 runs,"The Ashes, 1893",2nd Test,England,,3.48,54.9,54.9,0,76.55,23.45,6
41,1893,England,24-Aug-1893,3,5,England,Australia,18,3,3,0, ,Drawn,23.6,58.2,2.43,Australia,204,10,80.4,9,5,4,0,0,England,243,10,117,23,17,6,0,0,Australia,236,10,79.4,8,4,4,0,0,England,118,4,52.3,1,1,0,0,0,106,Manchester,"Old Trafford, Manchester",Match drawn,"The Ashes, 1893",3rd Test,Australia,,2.94,49.1,49.3,48.8,43.19,46.71,5
42,1894,Australia,14-Dec-1894,9,6,Australia,England,19,1,5,2010,FO,England,37.8,84.2,2.70,Australia,586,10,172.3,12,8,3,1,0,England,325,10,139.3,21,17,3,1,0,England,437,10,181.4,22,14,8,0,0,Australia,166,10,68,7,2,1,0,4,2,Sydney,Sydney Cricket Ground,England won by 10 runs,"The Ashes, 1894-95",1st Test,Australia,,4.61,66.2,73.7,57.4,48.36,51.64,9
43,1894,Australia,29-Dec-1894,9,6,Australia,England,19,2,5,2094, ,England,25.1,65.2,2.32,England,75,10,40.1,11,0,9,0,2,Australia,123,10,55.5,2,0,0,2,0,England,475,10,202.2,6,1,2,0,3,Australia,333,10,136.1,7,5,1,0,1,1,Melbourne,Melbourne Cricket Ground,England won by 94 runs,"The Ashes, 1894-95",2nd Test,Australia,,3.31,53.1,24.1,71.3,58.62,41.38,7
44,1895,Australia,11-Jan-1895,9,6,Australia,England,19,3,5,2382, ,Australia,22.9,48.2,2.85,Australia,238,10,81,4,2,0,1,1,England,124,10,57.3,2,2,0,0,0,Australia,411,10,115.2,15,7,7,0,1,England,143,10,67.1,7,5,2,0,0,5,Adelaide,Adelaide Oval,Australia won by 382 runs,"The Ashes, 1894-95",3rd Test,Australia,,2.82,47.1,35.9,55,82.09,17.91,6
45,1895,Australia,01-Feb-1895,9,6,Australia,England,19,4,5,3147,FO,Australia,14.0,30.4,2.77,Australia,284,10,83.5,6,3,1,1,1,England,65,10,38.5,12,7,3,0,2,England,72,10,29.1,13,5,7,0,1,Australia,0,0,0,0,0,0,0,0,2,Sydney,Sydney Cricket Ground,Australia won by an innings and 147 runs,"The Ashes, 1894-95",4th Test,England,,1.77,29.6,29.6,0,86.64,13.36,7
46,1895,Australia,01-Mar-1895,9,6,Australia,England,19,5,5,1006, ,England,40.1,87.0,2.77,Australia,414,10,148.4,13,3,10,0,0,England,385,10,133,20,8,8,4,0,Australia,267,10,123.2,13,5,6,0,2,England,298,4,88.1,14,6,5,2,1,1,Melbourne,Melbourne Cricket Ground,England won by 6 wickets,"The Ashes, 1894-95",5th Test,Australia,,5.12,70.9,71,71,39.23,60.77,6
47,1896,South Africa,13-Feb-1896,3,5,South Africa,England,20,1,3,2288, ,England,13.4,25.1,3.18,England,185,10,59,13,13,0,0,0,South Africa,93,10,25.4,2,2,0,0,0,England,226,10,67.2,9,9,0,0,0,South Africa,30,10,15.4,0,0,0,0,0,204,Port Elizabeth,"Crusaders Ground, Port Elizabeth",England won by 288 runs,"England in South Africa, 1895-96",1st Test,South Africa,,1.56,26.2,27.2,25.1,90.62,9.38,6
48,1896,South Africa,02-Mar-1896,3,5,South Africa,England,20,2,3,3197,FO,England,25.6,41.2,3.72,England,482,10,131.2,30,22,4,1,3,South Africa,151,10,38.4,7,0,0,2,5,South Africa,134,10,36.1,5,0,3,0,2,England,0,0,0,0,0,0,0,0,213,Jo'Burg-Old WS,"Old Wanderers, Johannesburg",England won by an innings and 197 runs,"England in South Africa, 1895-96",2nd Test,England,,3.04,50.4,50.4,0,83.56,16.44,6
49,1896,South Africa,21-Mar-1896,3,5,South Africa,England,20,3,3,3033, ,England,16.6,35.6,2.79,South Africa,115,10,40,7,5,0,1,1,England,265,10,84.5,18,12,4,0,2,South Africa,117,10,53.2,4,2,0,0,2,England,0,0,0,0,0,0,0,0,203,Cape Town,"Newlands, Cape Town",England won by an innings and 33 runs,"England in South Africa, 1895-96",3rd Test,England,,2.23,37.3,37.3,0,22.79,77.21,7
50,1896,England,22-Jun-1896,3,5,England,Australia,21,1,3,1006, ,England,23.6,45.7,3.10,Australia,53,10,18.5,1,1,0,0,0,England,292,10,89.5,7,5,2,0,0,Australia,347,10,110.5,12,7,4,1,0,England,111,4,39.2,8,3,4,1,0,101,Lord's,"Lord's, London",England won by 6 wickets,"The Ashes, 1896",1st Test,Australia,,2.9,48.5,38,57.6,38.74,61.26,6
51,1896,England,16-Jul-1896,3,5,England,Australia,21,2,3,1003,FO,Australia,29.0,58.8,2.96,Australia,412,10,141.4,15,6,8,1,0,England,231,10,75,1,1,0,0,0,England,305,10,75.1,6,2,3,1,0,Australia,125,7,70.3,3,0,3,0,0,106,Manchester,"Old Trafford, Manchester",Australia won by 3 wickets,"The Ashes, 1896",2nd Test,Australia,,3.23,52.3,56.6,45.9,53.77,46.23,8
52,1896,England,10-Aug-1896,3,5,England,Australia,21,3,3,2066, ,England,9.8,26.2,2.24,England,145,10,68,1,0,1,0,0,Australia,119,10,44.2,9,8,1,0,0,England,84,10,40.5,2,0,2,0,0,Australia,44,10,21.4,2,2,0,0,0,104,Oval,"Kennington Oval, London",England won by 66 runs,"The Ashes, 1896",3rd Test,England,,1.22,20.4,27.4,13.4,70.61,29.39,7
53,1897,Australia,13-Dec-1897,9,6,Australia,England,22,1,5,1009,FO,England,41.7,82.1,3.05,England,551,10,175,12,0,11,1,0,Australia,237,10,100.1,6,1,1,0,4,Australia,408,10,121,27,12,1,4,10,England,96,1,28,6,5,0,0,1,2,Sydney,Sydney Cricket Ground,England won by 9 wickets,"The Ashes, 1897-98",1st Test,England,,4.75,67.5,66,70.2,71.51,28.49,6
54,1898,Australia,01-Jan-1898,9,6,Australia,England,22,2,5,3055,FO,Australia,32.8,74.1,2.66,Australia,520,10,185,16,14,0,1,1,England,315,10,119.5,17,10,3,0,4,England,150,10,65.4,5,3,1,1,0,Australia,0,0,0,0,0,0,0,0,1,Melbourne,Melbourne Cricket Ground,Australia won by an innings and 55 runs,"The Ashes, 1897-98",2nd Test,Australia,,3.9,59,59,0,76.86,23.14,6
